date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-25,XLB,40.52,0.0419,106.07,,106.07,,1.0,,,,,,,
2025-05-06,XLB,41.04,0.0421,115.4,,115.4,,1.0,,,,,,,
2025-05-07,XLB,40.82,0.0422,109.57,,109.57,,1.0,,,,,,,
2025-05-08,XLB,41.36,0.0422,117.48,,117.48,,1.0,,,,,,,
2025-05-09,XLB,41.47,0.0422,118.85,,118.85,,1.0,,,,,,,
2025-05-12,XLB,42.43,0.0428,117.41,,117.41,,1.0,,,,,,,
2025-05-13,XLB,42.22,0.0428,104.79,,104.79,,1.0,,,,,,,
2025-05-14,XLB,41.83,0.0428,112.91,,112.91,,1.0,,,,,,,
2025-05-16,XLB,42.69,0.0424,118.12,,118.12,,1.0,,,,,,,
2025-05-20,XLB,42.72,0.0425,119.1,,119.1,,1.0,,,,,,,
2025-05-22,XLB,42.11,0.0423,118.49,,118.49,,1.0,,,,,,,
2025-05-30,XLB,42.34,0.0423,119.05,,119.05,,1.0,,,,,,,
2025-06-03,XLB,43.03,0.0424,115.51,,115.51,,1.0,,,,,,,
2025-06-04,XLB,43.19,0.0424,107.2,,107.2,,1.0,,,,,,,
2025-06-06,XLB,43.05,0.0423,118.03,,118.03,,1.0,,119.81,,119.81,,1.0,
2025-06-09,XLB,43.34,0.0424,117.01,,117.01,,1.0,,,,,,,
2025-06-10,XLB,43.61,0.0425,110.88,,110.88,,1.0,,115.57,,115.57,,1.0,
2025-06-11,XLB,43.17,0.0425,116.57,,116.57,,1.0,,117.53,,117.53,,1.0,
2025-06-17,XLB,42.79,0.0422,106.78,,106.78,,1.0,,119.28,,119.28,,1.0,
2025-06-20,XLB,42.38,0.042,117.73,,117.73,,1.0,,119.48,,119.48,,1.0,
2025-07-01,XLB,44.4,0.0422,105.97,,105.97,,1.0,,107.84,,107.84,,1.0,
2025-07-02,XLB,45.07,0.0422,113.95,,113.95,,1.0,,115.64,,115.64,,1.0,
2025-07-11,XLB,45.11,0.0424,114.17,,114.17,,1.0,,,,,,,
2025-07-31,XLB,43.24,0.0424,111.9,,111.9,,1.0,,,,,,,
2025-08-06,XLB,43.14,0.0413,116.22,,116.22,,1.0,,,,,,,
2025-08-08,XLB,43.55,0.0413,116.92,,116.92,,1.0,,,,,,,
2025-08-11,XLB,43.45,0.0414,103.1,,103.1,,1.0,,,,,,,
2025-08-12,XLB,44.02,0.0413,117.01,,117.01,,1.0,,,,,,,
2025-08-13,XLB,44.84,0.0411,117.55,,117.55,,1.0,,,,,,,
2025-08-14,XLB,44.37,0.0411,119.62,,119.62,,1.0,,,,,,,
2025-08-15,XLB,44.37,0.0411,100.44,,100.44,,1.0,,,,,,,
2025-08-18,XLB,44.12,0.0412,115.05,,115.05,,1.0,,,,,,,
2025-08-26,XLB,45.31,0.0409,116.1,,116.1,,1.0,,,,,,,
2025-09-03,XLB,44.84,0.0402,119.55,,119.55,,1.0,,,,,,,
2025-09-04,XLB,45.01,0.04,114.28,,114.28,,1.0,,,,,,,
2025-09-05,XLB,45.33,0.0391,116.17,,116.17,,1.0,,119.57,,119.57,,1.0,
2025-09-08,XLB,45.37,0.0393,118.94,,118.94,,1.0,,103.8,,103.8,,1.0,
2025-09-09,XLB,44.63,0.0394,119.1,,119.1,,1.0,,102.28,,102.28,,1.0,
2025-09-12,XLB,45.19,0.0393,117.92,,117.92,,1.0,,109.34,,109.34,,1.0,
2025-09-16,XLB,44.69,0.0389,117.47,,117.47,,1.0,,108.17,,108.17,,1.0,
2025-09-18,XLB,44.79,0.0388,106.09,,106.09,,1.0,,113.39,,113.39,,1.0,
2025-09-25,XLB,43.49,0.0388,116.48,,116.48,,1.0,,116.22,,116.22,,1.0,
2025-10-07,XLB,44.28,0.0384,109.56,,109.56,,1.0,,79.6,,79.6,,1.0,
2025-10-09,XLB,43.91,0.0385,117.42,,117.42,,1.0,,102.98,,102.98,,1.0,
2025-10-10,XLB,43.01,0.0385,115.53,,115.53,,1.0,,95.36,,95.36,,1.0,
2025-11-04,XLB,41.96,0.0379,119.86,,119.86,,1.0,,,,,,,
2025-11-06,XLB,42.0,0.0376,118.23,,118.23,,1.0,,,,,,,
2025-11-07,XLB,42.5,0.0376,96.24,,96.24,,1.0,,,,,,,
2025-11-10,XLB,42.9,0.0378,117.29,,117.29,,1.0,,,,,,,
2025-11-18,XLB,42.35,0.0377,107.93,,107.93,,1.0,,,,,,,
2025-11-19,XLB,42.46,0.0377,119.6,,119.6,,1.0,,,,,,,
2025-11-24,XLB,42.85,0.0373,89.06,,89.06,,1.0,,,,,,,
2025-12-02,XLB,43.76,0.0367,113.08,,113.08,,1.0,,,,,,,
2025-12-04,XLB,43.81,0.0361,115.58,,115.58,,1.0,,,,,,,
2025-12-05,XLB,43.67,0.036,28.61,18.02,18.88,0.9541,0.6602,0.6299,19.09,18.14,17.34,1.0461,0.9084,0.9503
2025-12-08,XLB,43.07,0.0362,23.07,19.64,19.06,1.0304,0.8264,0.8515,21.21,20.61,22.29,0.9244,1.0511,0.9717
2025-12-09,XLB,42.98,0.0363,20.45,19.59,22.43,0.8733,1.0967,0.9577,24.56,19.38,23.7,0.8176,0.9651,0.7891
2025-12-10,XLB,43.82,0.0359,14.93,22.53,16.17,1.3931,1.0831,1.5089,15.26,22.03,21.26,1.036,1.3935,1.4436
2025-12-11,XLB,44.69,0.0357,16.15,17.59,16.77,1.0485,1.0384,1.0888,18.67,20.38,17.71,1.1505,0.9488,1.0915
2025-12-12,XLB,44.72,0.0353,19.22,19.4,14.79,1.3118,0.7694,1.0093,18.87,18.8,15.65,1.2012,0.8295,0.9964
2025-12-15,XLB,44.69,0.0354,16.88,16.88,14.59,1.1569,0.8642,0.9998,18.7,19.9,21.82,0.9119,1.1668,1.064
2025-12-16,XLB,44.57,0.0355,19.54,18.83,14.64,1.2865,0.7489,0.9635,19.18,20.71,21.64,0.9566,1.1287,1.0797
2025-12-17,XLB,44.76,0.0354,18.03,19.47,15.92,1.2227,0.8831,1.0797,18.31,22.86,21.33,1.0719,1.1647,1.2485
2025-12-18,XLB,44.74,0.0352,18.98,16.48,18.43,0.8942,0.9709,0.8682,19.72,19.79,18.01,1.0992,0.913,1.0035
2025-12-19,XLB,44.94,0.0352,16.51,16.61,16.16,1.0284,0.9787,1.0065,17.62,23.4,20.41,1.1467,1.1582,1.3281
2025-12-22,XLB,45.47,0.0353,16.9,17.42,15.43,1.1291,0.9133,1.0313,17.61,20.77,15.68,1.3251,0.8903,1.1796
2025-12-23,XLB,45.55,0.0355,18.51,17.41,16.08,1.0825,0.8685,0.9401,17.94,17.77,15.47,1.149,0.8622,0.9906
2025-12-24,XLB,45.64,0.0356,15.1,14.02,15.01,0.9341,0.9936,0.9282,18.23,18.08,15.95,1.1337,0.8746,0.9915
2025-12-26,XLB,45.91,0.0354,16.85,14.7,13.84,1.0622,0.8212,0.8722,16.97,18.45,16.28,1.1335,0.9593,1.0873
2025-12-29,XLB,45.54,0.0354,18.12,15.7,19.71,0.7966,1.0878,0.8666,18.38,19.43,21.01,0.9248,1.1433,1.0573
2025-12-30,XLB,45.53,0.0354,17.3,17.49,17.03,1.0269,0.9845,1.011,18.65,18.48,15.92,1.1608,0.8534,0.9906
2025-12-31,XLB,45.15,0.0355,19.83,15.89,18.01,0.8823,0.9078,0.801,20.64,27.23,18.68,1.4576,0.9052,1.3194
2026-01-02,XLB,45.92,0.0353,16.66,17.5,15.67,1.1166,0.9405,1.0502,19.65,19.77,16.31,1.2126,0.83,1.0064
2026-01-05,XLB,46.37,0.0352,19.56,17.19,19.14,0.8984,0.9783,0.879,,,,,,
2026-01-06,XLB,47.29,0.0352,19.7,16.56,14.67,1.1288,0.7447,0.8406,,,,,,
2026-01-07,XLB,46.47,0.0352,25.84,43.16,18.99,2.2724,0.735,1.6702,,,,,,
2026-01-08,XLB,47.29,0.0351,17.45,17.79,14.44,1.2323,0.8275,1.0197,,,,,,
2026-01-09,XLB,48.05,0.0351,18.44,19.21,16.1,1.1929,0.8731,1.0415,,,,,,
2026-01-12,XLB,48.31,0.0353,20.57,17.1,16.71,1.0235,0.8121,0.8311,,,,,,
2026-01-13,XLB,48.51,0.0356,18.26,18.98,16.16,1.1748,0.8851,1.0398,,,,,,
2026-01-14,XLB,48.53,0.0356,18.91,19.27,18.47,1.0436,0.9766,1.0191,,,,,,
2026-01-15,XLB,48.74,0.0357,20.32,18.98,17.65,1.0751,0.8687,0.9339,,,,,,
2026-01-16,XLB,48.46,0.0356,17.86,19.47,17.71,1.0995,0.9916,1.0903,,,,,,
2026-01-20,XLB,47.98,0.0357,20.07,19.73,20.07,0.983,1.0001,0.9831,,,,,,
2026-01-21,XLB,49.02,0.0359,20.78,22.67,19.94,1.1368,0.96,1.0913,,,,,,
2026-01-22,XLB,49.3,0.0359,22.26,16.97,21.19,0.8008,0.952,0.7623,,,,,,
2026-01-23,XLB,49.75,0.0358,22.83,20.26,17.82,1.137,0.7804,0.8874,,,,,,
2026-01-26,XLB,49.81,0.0358,27.65,21.1,22.52,0.9371,0.8145,0.7632,,,,,,
2026-01-27,XLB,49.76,0.0357,22.78,22.21,20.54,1.0811,0.9016,0.9747,,,,,,
2026-01-28,XLB,49.73,0.0358,22.5,21.56,19.5,1.1055,0.8666,0.958,,,,,,
2026-01-29,XLB,49.78,0.0358,18.95,22.36,20.66,1.0822,1.09,1.1796,,,,,,
2026-01-30,XLB,49.05,0.0357,19.03,23.36,18.44,1.2671,0.969,1.2279,,,,,,
2026-02-02,XLB,49.43,0.0358,22.64,21.79,18.92,1.1518,0.8356,0.9624,,,,,,
2026-02-03,XLB,50.48,0.0359,23.91,23.21,21.58,1.0758,0.9022,0.9706,,,,,,
2026-02-04,XLB,51.66,0.036,23.2,26.3,23.42,1.1229,1.0096,1.1336,,,,,,
2026-02-05,XLB,50.28,0.0358,37.48,26.7,22.22,1.2017,0.5928,0.7124,,,,,,
2026-02-06,XLB,51.28,0.0359,22.7,21.72,21.8,0.9965,0.9602,0.9568,,,,,,
2026-02-09,XLB,51.95,0.0359,31.73,25.27,17.86,1.4148,0.563,0.7965,,,,,,
2026-02-10,XLB,52.68,0.0359,22.28,24.58,15.55,1.5804,0.6981,1.1032,,,,,,
2026-02-11,XLB,53.38,0.036,21.89,23.38,19.22,1.2165,0.878,1.068,,,,,,
2026-02-12,XLB,52.6,0.036,24.1,24.22,25.46,0.9514,1.0563,1.0049,,,,,,
2026-02-13,XLB,53.07,0.0359,25.95,22.71,23.74,0.9565,0.9147,0.8749,,,,,,
2026-02-17,XLB,52.47,0.0359,24.4,22.26,22.18,1.0038,0.9087,0.9122,,,,,,
