date,Ticker,Spot,RFR,IV30,Put_IV_30,Call_IV_30,1M_25dP/25dC,1M_25dC/ATM,1M_25dP/ATM,IV90,Put_IV_90,Call_IV_90,3M_25dP/25dC,3M_25dC/ATM,3M_25dP/ATM
2025-04-23,XLY,94.41,0.0421,117.31,,117.31,,1.0,,,,,,,
2025-05-06,XLY,98.0,0.0421,118.79,,118.79,,1.0,,,,,,,
2025-05-08,XLY,99.93,0.0422,114.64,,114.64,,1.0,,,,,,,
2025-05-09,XLY,100.41,0.0422,118.49,,118.49,,1.0,,,,,,,
2025-05-12,XLY,105.4,0.0428,111.17,,111.17,,1.0,,,,,,,
2025-05-13,XLY,106.8,0.0428,118.15,,118.15,,1.0,,,,,,,
2025-05-14,XLY,107.21,0.0428,118.51,,118.51,,1.0,,,,,,,
2025-05-15,XLY,106.97,0.0426,118.97,,118.97,,1.0,,,,,,,
2025-05-16,XLY,107.98,0.0424,119.37,,119.37,,1.0,,,,,,,
2025-05-19,XLY,107.73,0.0424,112.2,,112.2,,1.0,,,,,,,
2025-05-20,XLY,107.17,0.0425,119.12,44.76,119.12,0.3757,1.0,0.3757,,,,,,
2025-05-21,XLY,105.0,0.0424,116.68,,116.68,,1.0,,,,,,,
2025-06-03,XLY,106.88,0.0424,114.45,,114.45,,1.0,,,,,,,
2025-06-05,XLY,103.9,0.0423,118.11,,118.11,,1.0,,,,,,,
2025-06-06,XLY,105.25,0.0423,113.71,,113.71,,1.0,,117.82,,117.82,,1.0,
2025-06-09,XLY,106.1,0.0424,106.78,,106.78,,1.0,,118.96,,118.96,,1.0,
2025-06-10,XLY,107.37,0.0425,117.74,,117.74,,1.0,,113.66,,113.66,,1.0,
2025-06-13,XLY,105.04,0.0424,102.01,,102.01,,1.0,,119.03,,119.03,,1.0,
2025-06-24,XLY,107.18,0.0418,106.97,,106.97,,1.0,,117.73,,117.73,,1.0,
2025-07-02,XLY,109.37,0.0422,111.98,,111.98,,1.0,,119.84,,119.84,,1.0,
2025-07-08,XLY,108.21,0.0425,113.42,,113.42,,1.0,,,,,,,
2025-07-11,XLY,110.08,0.0424,115.92,,115.92,,1.0,,,,,,,
2025-07-17,XLY,109.48,0.0424,119.29,,119.29,,1.0,,,,,,,
2025-07-22,XLY,112.09,0.0423,98.74,,98.74,,1.0,,,,,,,
2025-08-05,XLY,108.83,0.0415,111.9,,111.9,,1.0,,,,,,,
2025-08-06,XLY,111.09,0.0413,118.3,,118.3,,1.0,,,,,,,
2025-08-08,XLY,111.25,0.0413,118.74,,118.74,,1.0,,,,,,,
2025-08-11,XLY,111.54,0.0414,116.37,,116.37,,1.0,,,,,,,
2025-08-13,XLY,114.27,0.0411,110.74,,110.74,,1.0,,,,,,,
2025-08-14,XLY,114.14,0.0411,115.04,,115.04,,1.0,,,,,,,
2025-08-15,XLY,113.86,0.0411,119.67,,119.67,,1.0,,,,,,,
2025-08-19,XLY,114.27,0.0411,115.77,,115.77,,1.0,,,,,,,
2025-08-20,XLY,113.14,0.0411,114.87,,114.87,,1.0,,,,,,,
2025-09-02,XLY,114.35,0.0403,119.21,,119.21,,1.0,,,,,,,
2025-09-03,XLY,114.81,0.0402,112.73,,112.73,,1.0,,,,,,,
2025-09-04,XLY,116.91,0.04,114.53,,114.53,,1.0,,,,,,,
2025-09-05,XLY,116.88,0.0391,119.13,,119.13,,1.0,,112.29,,112.29,,1.0,
2025-09-09,XLY,117.17,0.0394,113.08,,113.08,,1.0,,115.06,,115.06,,1.0,
2025-09-11,XLY,118.02,0.0393,99.13,,99.13,,1.0,,108.22,,108.22,,1.0,
2025-09-15,XLY,119.66,0.039,115.46,,115.46,,1.0,,113.33,,113.33,,1.0,
2025-10-07,XLY,117.38,0.0384,110.95,,110.95,,1.0,,114.4,,114.4,,1.0,
2025-10-08,XLY,117.73,0.0384,114.8,,114.8,,1.0,,113.96,,113.96,,1.0,
2025-10-09,XLY,117.14,0.0385,111.88,,111.88,,1.0,,109.86,,109.86,,1.0,
2025-10-10,XLY,113.92,0.0385,117.95,,117.95,,1.0,,110.63,,110.63,,1.0,
2025-10-20,XLY,117.67,0.038,117.0,,117.0,,1.0,,119.28,,119.28,,1.0,
2025-11-06,XLY,117.28,0.0376,117.29,,117.29,,1.0,,,,,,,
2025-11-07,XLY,117.46,0.0376,117.09,,117.09,,1.0,,,,,,,
2025-11-11,XLY,119.3,0.0378,116.93,,116.93,,1.0,,,,,,,
2025-11-13,XLY,115.54,0.0379,117.24,,117.24,,1.0,,,,,,,
2025-11-26,XLY,117.03,0.0375,109.15,,109.15,,1.0,,,,,,,
